img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
img1.jpg,Elder Quest V,PS5,RPG,Zenimax,BethWorks,92,5.6,2.1,0.5,2.4,0.6,2023-11-10,2025-01-02
img2.jpg,Speed Racer X,Xbox Series X,Racing,TurboCorp,FastLane Studios,78,3.2,1.5,0.1,1.2,0.4,11/15/2022,2025-02-10
img3.jpg,Galaxy Wars: Reborn,PC,Shooter,StarPlay,Orbit Devs,85,4.8,2.0,0.3,1.9,0.6,2021/09/05,2024-12-12
img4.jpg,Mystic Farm,Switch,Simulation,Nintendo,GreenLeaf,NaN,2.5,1.0,0.8,0.5,0.2,March 3 2020,2024-11-01
img5.jpg,Urban Fighter VI,PS5,Fighting,Capstone,IronFist,88,6.1,2.8,0.4,2.1,0.8,2024-02-20,2025-03-01
img6.jpg,Pixel Adventure,PC,Platformer,IndiePub,PixelForge,74,1.2,0.6,0.1,0.3,0.2,2019-07-12,2023-10-10
img7.jpg,Elder Quest V,Xbox Series X,RPG,Zenimax,BethWorks,91,4.9,2.0,0.4,2.0,0.5,2023-11-10,2025-01-15
img8.jpg,Galaxy Wars: Reborn,PS5,Shooter,StarPlay,Orbit Devs,86,3.9,1.8,0.2,1.5,0.4,2021-09-05,2025-02-20
img9.jpg,Ocean Builder,Switch,Simulation,BlueWave,SeaSoft,69,1.8,0.7,0.6,0.3,0.2,2020/06/30,2024-08-08
img10.jpg,Speed Racer X,PC,Racing,TurboCorp,FastLane Studios,80,2.1,1.0,0.0,0.8,0.3,2022-11-15,2025-02-11
