name,platform,release_date,summary,user_review
Elder Quest V,PS5,2023-11-10,Open-world fantasy RPG with deep lore,9.5
Speed Racer X,Xbox Series X,15 Nov 2022,Arcade racing with futuristic cars,7.8
Galaxy Wars: Reborn,PC,2021/09/05,Space combat shooter reboot,8.6
Mystic Farm,Switch,2020-03-03,Farming sim with magic elements,NaN
Urban Fighter VI,PS5,Feb 20 2024,Competitive fighting game sequel,8.9
Pixel Adventure,PC,2019-07-12,Retro pixel platformer,7.2
Elder Quest V,Xbox Series X,2023-11-10,Same epic RPG adapted for Xbox,9.3
Galaxy Wars: Reborn,PS5,2021-09-05,Console version of space shooter,8.4
Ocean Builder,Switch,06/30/2020,Build and manage ocean habitats,6.8
Speed Racer X,PC,2022-11-15,PC port of racing game,7.5
