Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Elder Quest V,2023-11-10,BethWorks,Zenimax,RPG,M,9.4,12450,PS5;Xbox Series X
Speed Racer X,2022-11-15,FastLane Studios,TurboCorp,Racing,E,7.7,8450,Xbox Series X;PC
Galaxy Wars: Reborn,2021-09-05,Orbit Devs,StarPlay,Shooter,T,8.5,10230,PC;PS5
Mystic Farm,2020-03-03,GreenLeaf,Nintendo,Simulation,E,NaN,5230,Switch
Urban Fighter VI,2024-02-20,IronFist,Capstone,Fighting,T,8.8,15670,PS5
Pixel Adventure,2019-07-12,PixelForge,IndiePub,Platformer,E,7.1,3420,PC
Ocean Builder,2020-06-30,SeaSoft,BlueWave,Simulation,E,6.7,2980,Switch
Galaxy Wars: Reborn,2021-09-05,Orbit Devs,StarPlay,Action;Shooter,T,8.6,11000,PC;PS5
Elder Quest V,2023-11-10,BethWorks,Zenimax,RPG,M,9.5,13000,PS5
Speed Racer X,2022-11-15,FastLane Studios,TurboCorp,Racing,E,7.6,9000,PC
